TreeID,iTreeSpecies,DBH,iTreeDate,StructuralValue_dol,C_Storage_lb,C_Storage_Dol,Gross_C_Seq_lb,Gross_C_Seq_Dol,AvoidedRunoff_cubft,AvoidedRunoff_Dol,C_Avoided_lbyr,C_Avoided_dolyr,Poll_Removal_ozyr,Poll_Removal_dolyr,EnergySavings_dolyr,TotalAnnualBenefits_dolyr
5761,elm spp,4.3,3/29/2019,164.95,37.9,3.23,3.4,0.29,7,0.47,N/A,N/A,2.1,0.56,N/A,1.31
5763,Sawtooth oak,18,3/29/2019,3939.98,1700,144.97,36.6,3.12,37.7,2.52,N/A,N/A,11.3,3.02,N/A,8.65
5764,crabapple,6.1,3/29/2019,408.5,100.4,8.57,6.3,0.54,9.1,0.61,N/A,N/A,2.7,0.73,N/A,1.88
5768,elm spp,35.3,3/29/2019,11322.65,5910.3,504.01,63,5.37,113.5,7.59,N/A,N/A,34.2,9.08,N/A,22.04
5769,Eastern redbud,3.3,3/29/2019,119.55,24,2.05,2.8,0.24,4.8,0.32,N/A,N/A,1.4,0.38,N/A,0.94
5770,Common chokecherry,1.8,3/29/2019,40.78,6.1,0.52,1.4,0.12,1.8,0.12,N/A,N/A,0.5,0.14,N/A,0.38
5771,elm spp,40,3/29/2019,13688.05,7976.7,680.22,75,6.4,121.6,8.13,N/A,N/A,36.6,9.73,N/A,24.26
5773,Norway maple,3.3,3/29/2019,136.01,31.8,2.71,3.3,0.28,6.4,0.43,N/A,N/A,1.9,0.51,N/A,1.22
5774,Sugar maple,3.5,3/29/2019,163.92,39.4,3.36,4.2,0.36,7.6,0.51,N/A,N/A,2.3,0.6,N/A,1.47
5775,Swamp white oak,4.3,3/29/2019,296.91,46.7,3.99,4.3,0.36,5,0.33,N/A,N/A,1.5,0.4,N/A,1.09
5776,Northern red oak,2.1,3/29/2019,73.41,8.4,0.72,1.6,0.14,2.6,0.18,N/A,N/A,0.8,0.21,N/A,0.52
5777,elm spp,2.7,3/29/2019,65.03,12.4,1.06,1.8,0.15,3.9,0.26,N/A,N/A,1.2,0.31,N/A,0.72
5778,elm spp,2.9,3/29/2019,75.02,14.7,1.26,2,0.17,4.2,0.28,N/A,N/A,1.3,0.34,N/A,0.79
5779,elm spp,2.8,3/29/2019,69.94,13.5,1.15,1.9,0.16,4,0.27,N/A,N/A,1.2,0.32,N/A,0.75
5780,elm spp,3,3/29/2019,80.29,16,1.36,2.1,0.18,4.4,0.29,N/A,N/A,1.3,0.35,N/A,0.82
5781,elm spp,2.4,3/29/2019,51.38,9.4,0.8,1.5,0.13,3.5,0.23,N/A,N/A,1,0.28,N/A,0.64
